DATE,LMO_Detailed_Industry,Employment
2012-09-01,"Legal, accounting, design, research, and advertising services",21500
2012-09-01,Local and Indigenous public administration,3000
2012-09-01,Machinery manufacturing,10250
2012-09-01,"Management, scientific and technical consulting services",21000
2012-09-01,Mining,9000
2012-09-01,Motion picture and sound recording industries,8750
2012-09-01,Motor vehicle and parts dealers,28750
2012-09-01,Nursing and residential care facilities,40250
2012-09-01,Oil and gas extraction,3250
2012-09-01,Other manufacturing,6250
2012-09-01,Other retail trade (excluding cars and personal care) ,20750
2012-09-01,Paper manufacturing,14000
2012-09-01,"Performing arts, spectator sports and related industries",14250
2012-09-01,"Postal service, couriers and messengers",11500
2012-09-01,Primary metal manufacturing,6250
2012-09-01,Private and trades education,0
2012-09-01,Provincial and territorial public administration,28000
2012-09-01,Publishing industries,15000
2012-09-01,Rail transportation,9750
2012-09-01,Real estate rental and leasing,48000
2012-09-01,"Repair, personal and non-profit services",107250
2012-09-01,Ship and boat building,2500
2012-09-01,Social assistance,58500
2012-09-01,Support activities for agriculture and forestry,12250
2012-09-01,Support activities for mining and oil and gas extraction,9750
2012-09-01,Support activities for transportation,22000
2012-09-01,Telecommunications,14500
2012-09-01,"Transit, sightseeing, and pipeline transportation",0
2012-09-01,Transportation equipment manufacturing (excluding shipbuilding),1000
2012-09-01,Truck transportation,33000
2012-09-01,Universities,36250
2012-09-01,Utilities,12250
2012-09-01,Warehousing and storage,15000
2012-09-01,Water transportation,5000
2012-09-01,Wholesale trade,84250
2012-09-01,Wood product manufacturing,34500
2012-10-01,Accommodation services,37750
2012-10-01,Air transportation,11500
2012-10-01,Ambulatory health care services,77500
2012-10-01,"Amusement, gambling and recreation industries",46250
2012-10-01,"Architectural, engineering and related services",44000
2012-10-01,"Broadcasting, data processing, and information",3250
2012-10-01,"Business, building and other support services",103000
2012-10-01,Community colleges,15250
2012-10-01,Computer systems design and related services,40500
2012-10-01,Construction,207250
2012-10-01,Elementary and secondary schools,101000
2012-10-01,Fabricated metal product manufacturing,10750
2012-10-01,Farms,11500
2012-10-01,Federal government public administration,41000
2012-10-01,Finance,43500
2012-10-01,"Fishing, hunting and trapping",1500
2012-10-01,Food services and drinking places,147750
2012-10-01,"Food, beverage and tobacco manufacturing",3250
2012-10-01,Forestry and logging,8000
2012-10-01,Health and personal care stores,25250
2012-10-01,Heritage institutions,1250
2012-10-01,Hospitals,94750
2012-10-01,Insurance carriers and related activities,22250
2012-10-01,"Legal, accounting, design, research, and advertising services",18750
2012-10-01,Local and Indigenous public administration,3500
2012-10-01,Machinery manufacturing,12750
2012-10-01,"Management, scientific and technical consulting services",20000
2012-10-01,Mining,10250
2012-10-01,Motion picture and sound recording industries,7000
2012-10-01,Motor vehicle and parts dealers,30250
2012-10-01,Nursing and residential care facilities,39750
2012-10-01,Oil and gas extraction,6000
2012-10-01,Other manufacturing,7000
2012-10-01,Other retail trade (excluding cars and personal care) ,22000
2012-10-01,Paper manufacturing,11500
2012-10-01,"Performing arts, spectator sports and related industries",15500
2012-10-01,"Postal service, couriers and messengers",10500
2012-10-01,Primary metal manufacturing,7000
2012-10-01,Private and trades education,0
2012-10-01,Provincial and territorial public administration,26250
2012-10-01,Publishing industries,12000
2012-10-01,Rail transportation,8250
2012-10-01,Real estate rental and leasing,51000
2012-10-01,"Repair, personal and non-profit services",105250
2012-10-01,Ship and boat building,2000
2012-10-01,Social assistance,62500
2012-10-01,Support activities for agriculture and forestry,10000
2012-10-01,Support activities for mining and oil and gas extraction,7000
2012-10-01,Support activities for transportation,23750
2012-10-01,Telecommunications,14500
2012-10-01,"Transit, sightseeing, and pipeline transportation",0
2012-10-01,Transportation equipment manufacturing (excluding shipbuilding),1000
2012-10-01,Truck transportation,29750
2012-10-01,Universities,32750
2012-10-01,Utilities,11750
2012-10-01,Warehousing and storage,12000
2012-10-01,Water transportation,5500
2012-10-01,Wholesale trade,83250
2012-10-01,Wood product manufacturing,30000
2012-11-01,Accommodation services,36250
2012-11-01,Air transportation,9500
2012-11-01,Ambulatory health care services,68750
2012-11-01,"Amusement, gambling and recreation industries",43500
2012-11-01,"Architectural, engineering and related services",40500
2012-11-01,"Broadcasting, data processing, and information",3750
2012-11-01,"Business, building and other support services",99500
2012-11-01,Community colleges,16250
2012-11-01,Computer systems design and related services,43750
2012-11-01,Construction,201500
2012-11-01,Elementary and secondary schools,96750
2012-11-01,Fabricated metal product manufacturing,12500
2012-11-01,Farms,9250
2012-11-01,Federal government public administration,40750
2012-11-01,Finance,40750
2012-11-01,"Fishing, hunting and trapping",3250
2012-11-01,Food services and drinking places,146250
2012-11-01,"Food, beverage and tobacco manufacturing",4000
2012-11-01,Forestry and logging,8000
2012-11-01,Health and personal care stores,24000
2012-11-01,Heritage institutions,1500
2012-11-01,Hospitals,98750
2012-11-01,Insurance carriers and related activities,27250
2012-11-01,"Legal, accounting, design, research, and advertising services",18000
2012-11-01,Local and Indigenous public administration,2750
2012-11-01,Machinery manufacturing,13750
2012-11-01,"Management, scientific and technical consulting services",19250
2012-11-01,Mining,12000
2012-11-01,Motion picture and sound recording industries,6250
2012-11-01,Motor vehicle and parts dealers,31000
2012-11-01,Nursing and residential care facilities,41250
2012-11-01,Oil and gas extraction,4750
2012-11-01,Other manufacturing,8250
2012-11-01,Other retail trade (excluding cars and personal care) ,19000
2012-11-01,Paper manufacturing,12250
2012-11-01,"Performing arts, spectator sports and related industries",17250
2012-11-01,"Postal service, couriers and messengers",10000
2012-11-01,Primary metal manufacturing,5500
2012-11-01,Private and trades education,0
2012-11-01,Provincial and territorial public administration,29750
2012-11-01,Publishing industries,11750
2012-11-01,Rail transportation,7750
2012-11-01,Real estate rental and leasing,48500
2012-11-01,"Repair, personal and non-profit services",106500
2012-11-01,Ship and boat building,3000
2012-11-01,Social assistance,57500
2012-11-01,Support activities for agriculture and forestry,11750
2012-11-01,Support activities for mining and oil and gas extraction,9000
2012-11-01,Support activities for transportation,21500
2012-11-01,Telecommunications,12750
2012-11-01,"Transit, sightseeing, and pipeline transportation",0
2012-11-01,Transportation equipment manufacturing (excluding shipbuilding),250
2012-11-01,Truck transportation,36250
2012-11-01,Universities,37000
2012-11-01,Utilities,11500
2012-11-01,Warehousing and storage,12000
2012-11-01,Water transportation,3500
2012-11-01,Wholesale trade,83500
2012-11-01,Wood product manufacturing,32250
2012-12-01,Accommodation services,36250
2012-12-01,Air transportation,6500
2012-12-01,Ambulatory health care services,69250
2012-12-01,"Amusement, gambling and recreation industries",44000
2012-12-01,"Architectural, engineering and related services",40250
2012-12-01,"Broadcasting, data processing, and information",3000
2012-12-01,"Business, building and other support services",101500
2012-12-01,Community colleges,13000
2012-12-01,Computer systems design and related services,47250
2012-12-01,Construction,199000
2012-12-01,Elementary and secondary schools,98750
2012-12-01,Fabricated metal product manufacturing,16250
2012-12-01,Farms,10500
2012-12-01,Federal government public administration,39250
2012-12-01,Finance,43750
2012-12-01,"Fishing, hunting and trapping",3000
2012-12-01,Food services and drinking places,142750
2012-12-01,"Food, beverage and tobacco manufacturing",4500
2012-12-01,Forestry and logging,9000
2012-12-01,Health and personal care stores,25500
2012-12-01,Heritage institutions,1750
2012-12-01,Hospitals,98750
2012-12-01,Insurance carriers and related activities,25250
2012-12-01,"Legal, accounting, design, research, and advertising services",21750
2012-12-01,Local and Indigenous public administration,2500
2012-12-01,Machinery manufacturing,14500
2012-12-01,"Management, scientific and technical consulting services",17750
2012-12-01,Mining,8500
2012-12-01,Motion picture and sound recording industries,8250
2012-12-01,Motor vehicle and parts dealers,29000
2012-12-01,Nursing and residential care facilities,41250
2012-12-01,Oil and gas extraction,4250
2012-12-01,Other manufacturing,7500
2012-12-01,Other retail trade (excluding cars and personal care) ,15750
2012-12-01,Paper manufacturing,8000
2012-12-01,"Performing arts, spectator sports and related industries",17500
2012-12-01,"Postal service, couriers and messengers",9000
2012-12-01,Primary metal manufacturing,5250
2012-12-01,Private and trades education,750
2012-12-01,Provincial and territorial public administration,28500
2012-12-01,Publishing industries,11250
2012-12-01,Rail transportation,7750
2012-12-01,Real estate rental and leasing,44500
2012-12-01,"Repair, personal and non-profit services",101500
2012-12-01,Ship and boat building,2750
2012-12-01,Social assistance,55000
2012-12-01,Support activities for agriculture and forestry,9000
2012-12-01,Support activities for mining and oil and gas extraction,11250
2012-12-01,Support activities for transportation,24000
2012-12-01,Telecommunications,13250
2012-12-01,"Transit, sightseeing, and pipeline transportation",0
2012-12-01,Transportation equipment manufacturing (excluding shipbuilding),750
2012-12-01,Truck transportation,32000
2012-12-01,Universities,40750
2012-12-01,Utilities,10250
2012-12-01,Warehousing and storage,12000
2012-12-01,Water transportation,3750
2012-12-01,Wholesale trade,84000
2012-12-01,Wood product manufacturing,26250
2013-01-01,Accommodation services,36000
2013-01-01,Air transportation,8750
2013-01-01,Ambulatory health care services,75250
2013-01-01,"Amusement, gambling and recreation industries",45250
2013-01-01,"Architectural, engineering and related services",39000
2013-01-01,"Broadcasting, data processing, and information",1750
2013-01-01,"Business, building and other support services",100000
2013-01-01,Community colleges,15750
2013-01-01,Computer systems design and related services,46250
2013-01-01,Construction,196250
2013-01-01,Elementary and secondary schools,96750
2013-01-01,Fabricated metal product manufacturing,10750
2013-01-01,Farms,11750
2013-01-01,Federal government public administration,35250
2013-01-01,Finance,40500
2013-01-01,"Fishing, hunting and trapping",1500
2013-01-01,Food services and drinking places,139250
2013-01-01,"Food, beverage and tobacco manufacturing",4500
2013-01-01,Forestry and logging,9250
2013-01-01,Health and personal care stores,28000
2013-01-01,Heritage institutions,1750
2013-01-01,Hospitals,95750
2013-01-01,Insurance carriers and related activities,24750
2013-01-01,"Legal, accounting, design, research, and advertising services",22000
2013-01-01,Local and Indigenous public administration,3000
2013-01-01,Machinery manufacturing,16250
2013-01-01,"Management, scientific and technical consulting services",18750
2013-01-01,Mining,9750
2013-01-01,Motion picture and sound recording industries,8250
2013-01-01,Motor vehicle and parts dealers,31500
2013-01-01,Nursing and residential care facilities,43500
2013-01-01,Oil and gas extraction,5000
2013-01-01,Other manufacturing,5750
2013-01-01,Other retail trade (excluding cars and personal care) ,16500
2013-01-01,Paper manufacturing,9250
2013-01-01,"Performing arts, spectator sports and related industries",15500
2013-01-01,"Postal service, couriers and messengers",7250
2013-01-01,Primary metal manufacturing,5500
2013-01-01,Private and trades education,1250
2013-01-01,Provincial and territorial public administration,30000
2013-01-01,Publishing industries,11750
2013-01-01,Rail transportation,6250
2013-01-01,Real estate rental and leasing,46500
2013-01-01,"Repair, personal and non-profit services",96250
2013-01-01,Ship and boat building,2500
2013-01-01,Social assistance,50500
2013-01-01,Support activities for agriculture and forestry,8000
2013-01-01,Support activities for mining and oil and gas extraction,9000
2013-01-01,Support activities for transportation,24500
2013-01-01,Telecommunications,14250
2013-01-01,"Transit, sightseeing, and pipeline transportation",0
2013-01-01,Transportation equipment manufacturing (excluding shipbuilding),250
2013-01-01,Truck transportation,39250
2013-01-01,Universities,39000
2013-01-01,Utilities,10500
2013-01-01,Warehousing and storage,11000
2013-01-01,Water transportation,5250
2013-01-01,Wholesale trade,79500
2013-01-01,Wood product manufacturing,31500
2013-02-01,Accommodation services,37500
2013-02-01,Air transportation,12000
2013-02-01,Ambulatory health care services,80500
2013-02-01,"Amusement, gambling and recreation industries",43250
2013-02-01,"Architectural, engineering and related services",40500
2013-02-01,"Broadcasting, data processing, and information",750
2013-02-01,"Business, building and other support services",97750
2013-02-01,Community colleges,13750
2013-02-01,Computer systems design and related services,46500
2013-02-01,Construction,198750
2013-02-01,Elementary and secondary schools,90000
2013-02-01,Fabricated metal product manufacturing,9250
2013-02-01,Farms,10250
2013-02-01,Federal government public administration,38250
2013-02-01,Finance,42500
2013-02-01,"Fishing, hunting and trapping",2000
2013-02-01,Food services and drinking places,147250
2013-02-01,"Food, beverage and tobacco manufacturing",4750
2013-02-01,Forestry and logging,9500
2013-02-01,Health and personal care stores,27000
2013-02-01,Heritage institutions,1750
2013-02-01,Hospitals,99250
2013-02-01,Insurance carriers and related activities,27750
2013-02-01,"Legal, accounting, design, research, and advertising services",20750
2013-02-01,Local and Indigenous public administration,2500
2013-02-01,Machinery manufacturing,14500
2013-02-01,"Management, scientific and technical consulting services",16500
2013-02-01,Mining,8750
2013-02-01,Motion picture and sound recording industries,9500
2013-02-01,Motor vehicle and parts dealers,34000
2013-02-01,Nursing and residential care facilities,37250
2013-02-01,Oil and gas extraction,5500
2013-02-01,Other manufacturing,7500
2013-02-01,Other retail trade (excluding cars and personal care) ,17750
2013-02-01,Paper manufacturing,7250
2013-02-01,"Performing arts, spectator sports and related industries",16750
2013-02-01,"Postal service, couriers and messengers",8750
2013-02-01,Primary metal manufacturing,5250
2013-02-01,Private and trades education,1500
2013-02-01,Provincial and territorial public administration,32750
2013-02-01,Publishing industries,14000
2013-02-01,Rail transportation,5250
2013-02-01,Real estate rental and leasing,48000
2013-02-01,"Repair, personal and non-profit services",95500
2013-02-01,Ship and boat building,2250
2013-02-01,Social assistance,47500
2013-02-01,Support activities for agriculture and forestry,7500
2013-02-01,Support activities for mining and oil and gas extraction,11250
2013-02-01,Support activities for transportation,23500
2013-02-01,Telecommunications,13750
2013-02-01,"Transit, sightseeing, and pipeline transportation",0
2013-02-01,Transportation equipment manufacturing (excluding shipbuilding),0
2013-02-01,Truck transportation,36250
2013-02-01,Universities,40750
2013-02-01,Utilities,10250
2013-02-01,Warehousing and storage,9750
2013-02-01,Water transportation,6250
2013-02-01,Wholesale trade,78500
2013-02-01,Wood product manufacturing,31750
2013-03-01,Accommodation services,36500
2013-03-01,Air transportation,10500
2013-03-01,Ambulatory health care services,73000
2013-03-01,"Amusement, gambling and recreation industries",39500
2013-03-01,"Architectural, engineering and related services",39250
2013-03-01,"Broadcasting, data processing, and information",1000
2013-03-01,"Business, building and other support services",96500
2013-03-01,Community colleges,14750
2013-03-01,Computer systems design and related services,36250
2013-03-01,Construction,191250
2013-03-01,Elementary and secondary schools,89750
2013-03-01,Fabricated metal product manufacturing,13750
2013-03-01,Farms,10000
2013-03-01,Federal government public administration,40750
2013-03-01,Finance,38750
2013-03-01,"Fishing, hunting and trapping",2000
2013-03-01,Food services and drinking places,146500
2013-03-01,"Food, beverage and tobacco manufacturing",6000
2013-03-01,Forestry and logging,10250
2013-03-01,Health and personal care stores,24750
2013-03-01,Heritage institutions,1500
2013-03-01,Hospitals,104250
2013-03-01,Insurance carriers and related activities,32000
2013-03-01,"Legal, accounting, design, research, and advertising services",20750
2013-03-01,Local and Indigenous public administration,2750
2013-03-01,Machinery manufacturing,10750
2013-03-01,"Management, scientific and technical consulting services",16750
2013-03-01,Mining,9250
2013-03-01,Motion picture and sound recording industries,11000
2013-03-01,Motor vehicle and parts dealers,31750
2013-03-01,Nursing and residential care facilities,39000
2013-03-01,Oil and gas extraction,3250
2013-03-01,Other manufacturing,7500
2013-03-01,Other retail trade (excluding cars and personal care) ,17000
2013-03-01,Paper manufacturing,8250
2013-03-01,"Performing arts, spectator sports and related industries",18000
2013-03-01,"Postal service, couriers and messengers",6250
2013-03-01,Primary metal manufacturing,3250
2013-03-01,Private and trades education,1500
2013-03-01,Provincial and territorial public administration,32750
2013-03-01,Publishing industries,15250
2013-03-01,Rail transportation,7500
2013-03-01,Real estate rental and leasing,47250
2013-03-01,"Repair, personal and non-profit services",100000
2013-03-01,Ship and boat building,1500
2013-03-01,Social assistance,52000
2013-03-01,Support activities for agriculture and forestry,7000
2013-03-01,Support activities for mining and oil and gas extraction,11500
2013-03-01,Support activities for transportation,22500
2013-03-01,Telecommunications,15250
2013-03-01,"Transit, sightseeing, and pipeline transportation",0
2013-03-01,Transportation equipment manufacturing (excluding shipbuilding),1250
2013-03-01,Truck transportation,39750
2013-03-01,Universities,43000
2013-03-01,Utilities,11000
2013-03-01,Warehousing and storage,8500
2013-03-01,Water transportation,3750
2013-03-01,Wholesale trade,77500
2013-03-01,Wood product manufacturing,28750
2013-04-01,Accommodation services,36250
2013-04-01,Air transportation,14250
2013-04-01,Ambulatory health care services,76500
2013-04-01,"Amusement, gambling and recreation industries",35000
2013-04-01,"Architectural, engineering and related services",38000
2013-04-01,"Broadcasting, data processing, and information",750
2013-04-01,"Business, building and other support services",103500
2013-04-01,Community colleges,14000
2013-04-01,Computer systems design and related services,37500
2013-04-01,Construction,192250
2013-04-01,Elementary and secondary schools,97750
2013-04-01,Fabricated metal product manufacturing,11000
2013-04-01,Farms,10250
2013-04-01,Federal government public administration,42500
2013-04-01,Finance,38250
2013-04-01,"Fishing, hunting and trapping",2500
2013-04-01,Food services and drinking places,140250
2013-04-01,"Food, beverage and tobacco manufacturing",6500
2013-04-01,Forestry and logging,8750
2013-04-01,Health and personal care stores,24750
2013-04-01,Heritage institutions,1500
2013-04-01,Hospitals,110250
2013-04-01,Insurance carriers and related activities,37250
2013-04-01,"Legal, accounting, design, research, and advertising services",21000
2013-04-01,Local and Indigenous public administration,1500
2013-04-01,Machinery manufacturing,9000
2013-04-01,"Management, scientific and technical consulting services",18250
2013-04-01,Mining,10750
2013-04-01,Motion picture and sound recording industries,11250
2013-04-01,Motor vehicle and parts dealers,35250
2013-04-01,Nursing and residential care facilities,33750
2013-04-01,Oil and gas extraction,3250
2013-04-01,Other manufacturing,6500
2013-04-01,Other retail trade (excluding cars and personal care) ,14500
2013-04-01,Paper manufacturing,7250
2013-04-01,"Performing arts, spectator sports and related industries",20250
2013-04-01,"Postal service, couriers and messengers",9250
2013-04-01,Primary metal manufacturing,4000
2013-04-01,Private and trades education,1000
2013-04-01,Provincial and territorial public administration,29750
2013-04-01,Publishing industries,14000
2013-04-01,Rail transportation,7000
2013-04-01,Real estate rental and leasing,48500
2013-04-01,"Repair, personal and non-profit services",99250
2013-04-01,Ship and boat building,2000
2013-04-01,Social assistance,49750
2013-04-01,Support activities for agriculture and forestry,8250
2013-04-01,Support activities for mining and oil and gas extraction,10000
2013-04-01,Support activities for transportation,22750
2013-04-01,Telecommunications,15000
2013-04-01,"Transit, sightseeing, and pipeline transportation",0
2013-04-01,Transportation equipment manufacturing (excluding shipbuilding),750
2013-04-01,Truck transportation,37000
2013-04-01,Universities,39250
2013-04-01,Utilities,11500
2013-04-01,Warehousing and storage,8250
2013-04-01,Water transportation,5500
2013-04-01,Wholesale trade,83250
2013-04-01,Wood product manufacturing,30000
2013-05-01,Accommodation services,36250
2013-05-01,Air transportation,15500
2013-05-01,Ambulatory health care services,72500
2013-05-01,"Amusement, gambling and recreation industries",31000
2013-05-01,"Architectural, engineering and related services",43000
2013-05-01,"Broadcasting, data processing, and information",1750
2013-05-01,"Business, building and other support services",99750
2013-05-01,Community colleges,12000
2013-05-01,Computer systems design and related services,34500
2013-05-01,Construction,205000
2013-05-01,Elementary and secondary schools,94500
2013-05-01,Fabricated metal product manufacturing,10000
2013-05-01,Farms,8750
2013-05-01,Federal government public administration,41250
2013-05-01,Finance,41500
2013-05-01,"Fishing, hunting and trapping",1000
2013-05-01,Food services and drinking places,142750
2013-05-01,"Food, beverage and tobacco manufacturing",5500
2013-05-01,Forestry and logging,9500
2013-05-01,Health and personal care stores,24750
2013-05-01,Heritage institutions,3000
2013-05-01,Hospitals,113000
2013-05-01,Insurance carriers and related activities,31500
2013-05-01,"Legal, accounting, design, research, and advertising services",23500
2013-05-01,Local and Indigenous public administration,750
2013-05-01,Machinery manufacturing,6750
2013-05-01,"Management, scientific and technical consulting services",19000
2013-05-01,Mining,11750
2013-05-01,Motion picture and sound recording industries,12250
2013-05-01,Motor vehicle and parts dealers,34250
2013-05-01,Nursing and residential care facilities,34250
2013-05-01,Oil and gas extraction,4000
2013-05-01,Other manufacturing,6750
2013-05-01,Other retail trade (excluding cars and personal care) ,16000
2013-05-01,Paper manufacturing,10500
2013-05-01,"Performing arts, spectator sports and related industries",16750
2013-05-01,"Postal service, couriers and messengers",7250
2013-05-01,Primary metal manufacturing,6250
2013-05-01,Private and trades education,750
2013-05-01,Provincial and territorial public administration,33750
2013-05-01,Publishing industries,15750
2013-05-01,Rail transportation,7750
2013-05-01,Real estate rental and leasing,52750
2013-05-01,"Repair, personal and non-profit services",99500
2013-05-01,Ship and boat building,2000
2013-05-01,Social assistance,47750
2013-05-01,Support activities for agriculture and forestry,12000
2013-05-01,Support activities for mining and oil and gas extraction,7750
2013-05-01,Support activities for transportation,22000
2013-05-01,Telecommunications,19250
2013-05-01,"Transit, sightseeing, and pipeline transportation",0
2013-05-01,Transportation equipment manufacturing (excluding shipbuilding),0
2013-05-01,Truck transportation,33250
2013-05-01,Universities,38750
2013-05-01,Utilities,12000
2013-05-01,Warehousing and storage,12000
2013-05-01,Water transportation,6250
2013-05-01,Wholesale trade,83500
2013-05-01,Wood product manufacturing,30000
2013-06-01,Accommodation services,34750
2013-06-01,Air transportation,12000
2013-06-01,Ambulatory health care services,73500
2013-06-01,"Amusement, gambling and recreation industries",30250
2013-06-01,"Architectural, engineering and related services",48500
2013-06-01,"Broadcasting, data processing, and information",2250
2013-06-01,"Business, building and other support services",101500
2013-06-01,Community colleges,13000
2013-06-01,Computer systems design and related services,33500
2013-06-01,Construction,206250
2013-06-01,Elementary and secondary schools,97250
2013-06-01,Fabricated metal product manufacturing,11000
2013-06-01,Farms,9250
2013-06-01,Federal government public administration,32250
2013-06-01,Finance,45000
2013-06-01,"Fishing, hunting and trapping",3000
2013-06-01,Food services and drinking places,146000
2013-06-01,"Food, beverage and tobacco manufacturing",4500
2013-06-01,Forestry and logging,9750
2013-06-01,Health and personal care stores,27500
2013-06-01,Heritage institutions,4000
2013-06-01,Hospitals,113500
2013-06-01,Insurance carriers and related activities,28250
2013-06-01,"Legal, accounting, design, research, and advertising services",22000
2013-06-01,Local and Indigenous public administration,750
2013-06-01,Machinery manufacturing,8000
2013-06-01,"Management, scientific and technical consulting services",19250
2013-06-01,Mining,10750
2013-06-01,Motion picture and sound recording industries,10500
2013-06-01,Motor vehicle and parts dealers,34000
2013-06-01,Nursing and residential care facilities,33250
2013-06-01,Oil and gas extraction,3500
2013-06-01,Other manufacturing,5250
2013-06-01,Other retail trade (excluding cars and personal care) ,16500
2013-06-01,Paper manufacturing,10750
2013-06-01,"Performing arts, spectator sports and related industries",17500
2013-06-01,"Postal service, couriers and messengers",6500
2013-06-01,Primary metal manufacturing,5250
2013-06-01,Private and trades education,250
2013-06-01,Provincial and territorial public administration,28250
2013-06-01,Publishing industries,11250
2013-06-01,Rail transportation,5250
2013-06-01,Real estate rental and leasing,56750
2013-06-01,"Repair, personal and non-profit services",103000
2013-06-01,Ship and boat building,1250
2013-06-01,Social assistance,52000
2013-06-01,Support activities for agriculture and forestry,11000
2013-06-01,Support activities for mining and oil and gas extraction,10250
2013-06-01,Support activities for transportation,21500
2013-06-01,Telecommunications,18750
2013-06-01,"Transit, sightseeing, and pipeline transportation",0
2013-06-01,Transportation equipment manufacturing (excluding shipbuilding),750
2013-06-01,Truck transportation,31000
2013-06-01,Universities,39500
2013-06-01,Utilities,11750
2013-06-01,Warehousing and storage,14750
2013-06-01,Water transportation,9500
2013-06-01,Wholesale trade,82500
2013-06-01,Wood product manufacturing,26000
2013-07-01,Accommodation services,39250
2013-07-01,Air transportation,10000
2013-07-01,Ambulatory health care services,76250
2013-07-01,"Amusement, gambling and recreation industries",28750
2013-07-01,"Architectural, engineering and related services",47250
2013-07-01,"Broadcasting, data processing, and information",1750
2013-07-01,"Business, building and other support services",109000
2013-07-01,Community colleges,11750
2013-07-01,Computer systems design and related services,36250
2013-07-01,Construction,214750
2013-07-01,Elementary and secondary schools,60750
2013-07-01,Fabricated metal product manufacturing,11750
2013-07-01,Farms,13000
2013-07-01,Federal government public administration,32750
2013-07-01,Finance,48500
2013-07-01,"Fishing, hunting and trapping",1500
2013-07-01,Food services and drinking places,141500
2013-07-01,"Food, beverage and tobacco manufacturing",4000
2013-07-01,Forestry and logging,9750
2013-07-01,Health and personal care stores,28500
2013-07-01,Heritage institutions,4500
2013-07-01,Hospitals,105500
2013-07-01,Insurance carriers and related activities,31250
2013-07-01,"Legal, accounting, design, research, and advertising services",25000
2013-07-01,Local and Indigenous public administration,1500
2013-07-01,Machinery manufacturing,9500
2013-07-01,"Management, scientific and technical consulting services",16250
2013-07-01,Mining,13000
2013-07-01,Motion picture and sound recording industries,10750
2013-07-01,Motor vehicle and parts dealers,35750
2013-07-01,Nursing and residential care facilities,32750
2013-07-01,Oil and gas extraction,3750
2013-07-01,Other manufacturing,5000
2013-07-01,Other retail trade (excluding cars and personal care) ,17750
2013-07-01,Paper manufacturing,15500
2013-07-01,"Performing arts, spectator sports and related industries",20750
2013-07-01,"Postal service, couriers and messengers",8750
2013-07-01,Primary metal manufacturing,7000
2013-07-01,Private and trades education,0
2013-07-01,Provincial and territorial public administration,26500
2013-07-01,Publishing industries,11000
2013-07-01,Rail transportation,6750
2013-07-01,Real estate rental and leasing,54250
2013-07-01,"Repair, personal and non-profit services",105250
2013-07-01,Ship and boat building,2250
2013-07-01,Social assistance,50500
2013-07-01,Support activities for agriculture and forestry,11500
2013-07-01,Support activities for mining and oil and gas extraction,8000
2013-07-01,Support activities for transportation,22500
2013-07-01,Telecommunications,17750
2013-07-01,"Transit, sightseeing, and pipeline transportation",250
2013-07-01,Transportation equipment manufacturing (excluding shipbuilding),0
2013-07-01,Truck transportation,37000
2013-07-01,Universities,38250
2013-07-01,Utilities,11750
2013-07-01,Warehousing and storage,8500
2013-07-01,Water transportation,10000
2013-07-01,Wholesale trade,78250
2013-07-01,Wood product manufacturing,29000
2013-08-01,Accommodation services,45750
2013-08-01,Air transportation,11250
2013-08-01,Ambulatory health care services,76000
2013-08-01,"Amusement, gambling and recreation industries",35500
2013-08-01,"Architectural, engineering and related services",48750
2013-08-01,"Broadcasting, data processing, and information",2000
2013-08-01,"Business, building and other support services",100750
2013-08-01,Community colleges,14000
2013-08-01,Computer systems design and related services,37500
2013-08-01,Construction,211250
2013-08-01,Elementary and secondary schools,57000
2013-08-01,Fabricated metal product manufacturing,10250
2013-08-01,Farms,11750
2013-08-01,Federal government public administration,30250
2013-08-01,Finance,46750
2013-08-01,"Fishing, hunting and trapping",1750
2013-08-01,Food services and drinking places,145750
2013-08-01,"Food, beverage and tobacco manufacturing",5000
2013-08-01,Forestry and logging,8000
2013-08-01,Health and personal care stores,34500
2013-08-01,Heritage institutions,3500
2013-08-01,Hospitals,104000
2013-08-01,Insurance carriers and related activities,27000
2013-08-01,"Legal, accounting, design, research, and advertising services",26000
2013-08-01,Local and Indigenous public administration,1500
2013-08-01,Machinery manufacturing,9000
2013-08-01,"Management, scientific and technical consulting services",16750
2013-08-01,Mining,14750
2013-08-01,Motion picture and sound recording industries,11500
2013-08-01,Motor vehicle and parts dealers,32500
2013-08-01,Nursing and residential care facilities,36750
2013-08-01,Oil and gas extraction,3500
2013-08-01,Other manufacturing,7750
2013-08-01,Other retail trade (excluding cars and personal care) ,16000
2013-08-01,Paper manufacturing,12250
2013-08-01,"Performing arts, spectator sports and related industries",19500
2013-08-01,"Postal service, couriers and messengers",8250
2013-08-01,Primary metal manufacturing,6500
2013-08-01,Private and trades education,250
2013-08-01,Provincial and territorial public administration,24750
2013-08-01,Publishing industries,11500
2013-08-01,Rail transportation,5750
2013-08-01,Real estate rental and leasing,59500
2013-08-01,"Repair, personal and non-profit services",104750
2013-08-01,Ship and boat building,3250
2013-08-01,Social assistance,56000
2013-08-01,Support activities for agriculture and forestry,11500
2013-08-01,Support activities for mining and oil and gas extraction,8750
2013-08-01,Support activities for transportation,21250
2013-08-01,Telecommunications,17500
2013-08-01,"Transit, sightseeing, and pipeline transportation",500
2013-08-01,Transportation equipment manufacturing (excluding shipbuilding),0
2013-08-01,Truck transportation,36500
2013-08-01,Universities,38000
2013-08-01,Utilities,10750
